store_id,sales_amount,date
30,1590.63,2023-01-10
45,506.88,2023-02-10
70,4331.82,2023-11-09
52,1635.53,2023-06-15
21,2385.34,2023-01-18
41,4206.17,2023-02-14
56,2690.88,2023-10-19
36,3228.98,2023-07-22
70,1532.36,2023-08-02
34,1609.37,2023-08-21
6,4707.59,2023-07-25
74,441.26,2023-03-10
1,1380.14,2023-04-27
11,4365.02,2023-10-27
13,2776.66,2023-03-07
11,658.08,2023-12-05
55,4494.93,2023-07-21
6,1766.34,2023-01-21
87,4306.67,2023-06-17
53,1499.94,2023-04-12
90,2886.39,2023-09-04
37,2993.67,2023-09-17
61,662.12,2023-12-10
44,2024.46,2023-09-24
64,2673.33,2023-04-21
27,1081.07,2023-10-23
27,2726.6,2023-04-30
92,2517.85,2023-07-05
24,3172.0,2023-03-01
84,3406.25,2023-10-02
57,759.96,2023-02-18
15,3341.76,2023-03-28
78,2972.83,2023-10-10
89,1395.33,2023-05-27
81,2687.22,2023-10-02
11,3270.59,2023-11-25
46,4250.89,2023-02-17
48,3861.46,2023-07-24
38,114.77,2023-07-20
72,2546.21,2023-02-23
57,1716.25,2023-04-16
77,4450.96,2023-09-17
34,2593.12,2023-09-29
68,2781.09,2023-03-01
61,4509.66,2023-07-24
53,3213.49,2023-11-10
5,267.92,2023-01-06
22,1597.02,2023-11-18
49,792.19,2023-02-24
59,215.9,2023-06-05
30,1859.36,2023-02-02
30,4694.02,2023-04-03
79,1091.97,2023-02-09
8,2238.03,2023-08-15
49,4510.85,2023-05-23
64,4303.55,2023-09-16
35,3839.12,2023-11-22
13,4395.53,2023-04-05
27,464.87,2023-05-21
39,4092.5,2023-11-28
6,4790.74,2023-01-03
99,277.98,2023-08-20
33,4634.39,2023-05-07
39,2453.29,2023-06-20
36,3847.7,2023-03-19
85,390.37,2023-01-29
75,3180.02,2023-07-23
10,4026.7,2023-11-02
31,1960.35,2023-04-11
4,2977.53,2023-06-26
19,2526.77,2023-08-08
52,3134.56,2023-11-01
62,3798.17,2023-09-18
75,3317.98,2023-02-22
4,3495.99,2023-02-06
75,3428.52,2023-01-04
81,4577.09,2023-11-17
17,489.26,2023-07-11
9,1964.76,2023-10-06
95,684.89,2023-07-30
37,569.85,2023-01-18
17,275.11,2023-08-10
3,1979.72,2023-04-01
32,4873.36,2023-06-04
7,1468.46,2023-06-08
20,554.76,2023-03-25
73,1767.88,2023-11-01
22,3457.89,2023-05-23
86,4964.11,2023-10-27
67,1652.41,2023-12-11
63,3327.66,2023-06-22
18,256.44,2023-01-01
76,1684.78,2023-12-30
49,1575.81,2023-01-20
71,3113.24,2023-10-02
50,3594.38,2023-12-24
86,4259.56,2023-08-05
13,4491.58,2023-09-24
16,2973.64,2023-04-18
25,3370.69,2023-11-29
21,345.26,2023-09-22
7,4643.23,2023-11-07
100,3001.35,2023-04-14
49,162.29,2023-08-03
10,4893.88,2023-09-16
51,3113.11,2023-04-26
28,1029.51,2023-03-25
68,2536.36,2023-05-06
19,4981.3,2023-04-13
38,3692.18,2023-05-31
45,3950.78,2023-06-13
5,781.58,2023-05-09
33,1903.94,2023-09-18
74,3363.16,2023-07-02
91,4301.79,2023-11-20
31,3774.19,2023-10-04
89,379.96,2023-07-02
93,3752.52,2023-08-22
47,4180.0,2023-12-20
66,701.91,2023-05-09
77,4934.78,2023-12-26
31,4674.57,2023-12-28
22,4977.11,2023-12-24
91,1057.0,2023-01-18
50,2837.82,2023-04-02
96,4936.71,2023-08-09
62,3126.33,2023-05-25
24,2581.56,2023-10-21
69,3370.67,2023-10-04
16,3288.25,2023-03-05
96,4193.48,2023-03-10
99,3565.66,2023-07-18
10,4700.74,2023-08-25
70,3149.64,2023-01-26
98,2300.53,2023-12-20
11,3250.43,2023-01-28
27,694.54,2023-12-24
19,780.89,2023-10-06
48,1573.97,2023-01-27
51,2280.14,2023-06-25
29,4611.6,2023-06-17
25,2014.4,2023-07-11
14,4096.11,2023-06-17
24,4577.69,2023-03-17
1,117.68,2023-03-14
89,3524.98,2023-08-19
15,3272.43,2023-10-03
8,4714.04,2023-05-15
88,3040.03,2023-06-29
64,4148.32,2023-06-28
95,313.93,2023-12-12
86,4794.03,2023-04-10
49,1475.92,2023-03-20
26,1719.16,2023-04-13
38,2188.35,2023-02-17
43,2033.91,2023-12-13
76,2040.17,2023-02-12
32,1911.19,2023-01-06
30,1559.47,2023-09-07
43,1408.93,2023-07-23
81,1417.56,2023-01-09
91,746.5,2023-11-02
79,2180.1,2023-01-29
4,3690.89,2023-01-21
84,1514.48,2023-11-25
72,3747.78,2023-09-02
42,4488.54,2023-07-11
62,1754.96,2023-07-10
67,990.16,2023-08-25
73,4867.31,2023-05-16
56,2775.23,2023-07-29
43,3226.31,2023-07-09
28,3926.08,2023-11-24
15,2964.92,2023-11-09
90,119.76,2023-02-03
78,1589.62,2023-11-13
43,3515.8,2023-11-10
19,4833.33,2023-08-01
66,1663.9,2023-07-23
33,4460.49,2023-07-16
34,169.55,2023-06-01
97,1104.75,2023-01-20
99,1313.44,2023-06-27
78,4128.86,2023-02-22
69,3826.55,2023-01-29
17,250.61,2023-05-22
86,3983.26,2023-05-15
19,2368.51,2023-08-18
12,311.09,2023-09-02
20,2613.65,2023-04-25
89,4115.76,2023-05-20
59,4953.48,2023-03-07
78,4819.88,2023-11-09
40,1156.7,2023-11-05
59,1440.3,2023-06-23
99,2343.33,2023-06-08
16,1002.45,2023-03-31
18,2260.48,2023-08-06
8,3458.98,2023-07-23
91,4316.27,2023-10-16
11,2960.85,2023-08-20
89,4039.39,2023-04-13
93,1156.55,2023-03-20
64,1080.76,2023-12-23
64,3890.95,2023-08-21
45,3356.13,2023-09-29
30,1378.96,2023-04-25
91,3928.37,2023-07-02
12,3158.48,2023-11-02
65,119.05,2023-06-19
24,1561.46,2023-09-14
51,4108.26,2023-11-24
8,949.43,2023-06-15
64,1210.52,2023-02-08
55,3016.49,2023-03-20
99,2893.6,2023-05-14
4,102.11,2023-04-28
67,562.82,2023-10-19
22,4337.7,2023-05-03
42,3158.8,2023-10-21
15,1556.78,2023-01-11
35,4406.19,2023-03-17
3,3340.38,2023-05-24
12,3952.59,2023-10-21
95,1223.05,2023-08-08
22,2466.08,2023-10-14
99,4131.99,2023-06-01
80,1850.37,2023-06-09
32,960.23,2023-01-28
28,3161.53,2023-11-15
4,2309.22,2023-04-18
69,1329.57,2023-11-05
87,3873.94,2023-09-14
18,3148.54,2023-09-05
12,1622.99,2023-02-28
55,1245.55,2023-11-13
99,3973.29,2023-03-20
12,3556.96,2023-01-28
19,1492.87,2023-01-06
51,250.43,2023-05-11
71,4820.43,2023-12-15
23,2389.87,2023-12-23
92,4214.02,2023-12-18
69,3832.6,2023-02-12
58,4329.37,2023-12-09
57,4117.19,2023-12-22
90,600.88,2023-09-20
18,3606.56,2023-02-09
86,4676.38,2023-10-20
43,2071.64,2023-09-24
14,2425.7,2023-03-10
100,2894.69,2023-11-18
80,3083.28,2023-02-24
66,4571.26,2023-06-03
61,1108.62,2023-10-13
44,3808.37,2023-12-12
17,2956.04,2023-09-19
37,3299.48,2023-06-02
72,2261.96,2023-10-23
67,369.47,2023-03-16
39,1369.43,2023-06-25
43,1035.06,2023-10-03
62,1306.19,2023-11-28
49,3328.38,2023-04-03
31,1868.46,2023-02-26
47,4933.01,2023-04-05
16,4277.61,2023-06-06
30,2687.13,2023-12-16
73,4489.24,2023-03-02
77,1548.68,2023-03-03
39,384.08,2023-08-28
50,691.26,2023-10-28
96,2193.61,2023-12-07
83,1409.77,2023-08-12
22,1889.32,2023-04-04
95,759.19,2023-02-28
100,161.93,2023-01-21
93,3947.21,2023-08-19
94,3971.92,2023-12-06
82,4149.51,2023-05-05
4,132.22,2023-05-30
7,2470.36,2023-12-01
12,920.51,2023-05-31
89,3219.31,2023-09-08
83,3718.49,2023-11-02
31,248.97,2023-04-01
83,2552.47,2023-07-08
74,4424.73,2023-09-14
6,3116.61,2023-07-05
90,4849.3,2023-07-04
76,1101.5,2023-08-28
18,3409.75,2023-01-21
59,3736.85,2023-07-24
74,2803.22,2023-09-21
42,361.47,2023-07-20
49,3728.11,2023-10-05
63,4244.37,2023-05-26
67,1856.32,2023-08-14
1,2818.11,2023-09-06
4,1703.37,2023-08-06
37,4198.4,2023-01-17
84,879.44,2023-06-09
87,3135.58,2023-05-22
59,3848.99,2023-11-21
38,4592.39,2023-10-09
57,2760.57,2023-08-16
23,714.38,2023-09-16
43,3678.21,2023-12-04
11,1099.56,2023-10-29
62,1301.55,2023-06-30
53,331.19,2023-03-22
46,334.47,2023-09-02
15,4189.87,2023-05-08
43,2668.9,2023-08-31
99,1800.75,2023-02-05
33,1380.4,2023-08-05
80,3397.19,2023-01-03
65,4550.78,2023-02-19
29,4612.19,2023-12-04
98,182.97,2023-04-03
81,3636.21,2023-04-25
1,2159.97,2023-10-23
17,4516.57,2023-10-16
72,2578.57,2023-02-28
58,4882.71,2023-06-22
19,2633.72,2023-05-14
40,4661.45,2023-03-18
18,388.37,2023-10-16
48,1399.02,2023-05-03
7,788.66,2023-09-05
87,825.8,2023-10-09
34,1797.7,2023-07-29
36,121.76,2023-06-20
57,470.28,2023-03-07
52,3087.02,2023-04-06
11,3344.42,2023-12-20
77,1523.93,2023-06-15
7,1740.47,2023-02-18
13,4760.91,2023-05-02
78,3202.72,2023-08-07
5,4902.08,2023-08-27
10,1346.31,2023-08-08
89,3223.73,2023-09-01
75,3525.02,2023-07-28
32,3024.36,2023-01-30
87,4831.44,2023-03-22
35,4630.83,2023-07-19
82,1621.35,2023-04-04
75,878.17,2023-05-15
23,1948.34,2023-04-29
10,3285.94,2023-04-14
65,3564.56,2023-02-01
3,821.0,2023-08-31
80,201.39,2023-06-06
93,1497.97,2023-06-15
66,4632.64,2023-09-14
59,4352.44,2023-11-17
71,222.27,2023-05-09
2,1538.33,2023-04-26
56,3404.4,2023-08-28
14,3708.25,2023-12-21
33,2961.12,2023-06-01
25,4377.13,2023-11-01
79,615.06,2023-12-29
29,4982.06,2023-04-05
8,2097.04,2023-05-13
78,3143.84,2023-03-17
56,2214.32,2023-05-09
23,1177.53,2023-12-30
59,918.44,2023-02-17
60,4876.55,2023-11-07
47,4276.0,2023-11-09
19,3570.68,2023-03-03
52,2758.18,2023-02-19
60,2042.29,2023-06-04
77,2471.12,2023-12-02
41,2876.09,2023-05-02
2,1439.53,2023-01-20
80,4147.17,2023-10-23
31,4573.8,2023-09-07
27,3796.14,2023-04-21
14,3497.08,2023-06-30
24,2481.03,2023-03-09
89,1950.15,2023-08-14
92,3898.37,2023-06-14
91,2067.97,2023-01-14
76,2141.44,2023-02-27
69,2632.67,2023-03-19
76,2851.8,2023-08-06
20,3521.96,2023-01-16
42,3034.74,2023-09-26
81,2242.48,2023-12-31
62,953.64,2023-09-01
13,2515.4,2023-03-20
65,4745.45,2023-03-31
24,2395.02,2023-04-17
46,4012.03,2023-06-15
14,3645.09,2023-03-18
15,2717.66,2023-10-30
33,3876.21,2023-12-11
45,3834.7,2023-08-24
8,978.35,2023-09-13
52,1934.75,2023-04-09
73,1676.84,2023-09-30
90,3427.86,2023-02-14
66,3524.1,2023-04-08
40,3871.97,2023-05-22
13,1927.33,2023-01-23
86,4364.09,2023-11-20
93,1602.14,2023-07-13
29,4331.84,2023-10-31
68,1816.13,2023-12-01
73,3695.99,2023-01-12
87,1683.04,2023-11-13
16,826.89,2023-12-25
90,1567.65,2023-10-24
50,264.4,2023-02-14
2,1158.7,2023-07-05
82,4989.79,2023-05-20
23,2776.02,2023-05-18
77,1754.65,2023-07-27
71,3536.62,2023-08-20
91,4353.48,2023-07-19
21,2103.26,2023-07-17
27,2961.19,2023-05-04
81,1143.56,2023-02-22
17,561.4,2023-11-23
12,2975.97,2023-02-01
56,4598.56,2023-06-09
67,3723.82,2023-05-26
85,4416.99,2023-04-03
9,2442.39,2023-02-26
52,4735.84,2023-05-30
20,4828.03,2023-08-19
51,950.12,2023-07-08
15,3606.18,2023-05-16
55,3541.72,2023-02-11
67,3426.36,2023-10-06
46,4734.37,2023-10-11
36,1559.87,2023-07-02
6,1216.99,2023-04-11
6,985.2,2023-01-30
60,2036.37,2023-04-23
99,4060.92,2023-09-24
18,657.23,2023-11-14
88,3911.71,2023-02-14
40,1582.49,2023-03-03
70,2997.58,2023-06-02
30,857.5,2023-12-02
20,3721.6,2023-02-05
27,2905.35,2023-01-20
23,2899.63,2023-09-07
1,1065.66,2023-12-28
52,4476.99,2023-12-20
40,4068.19,2023-08-30
29,1052.93,2023-09-30
71,3482.23,2023-10-21
19,2983.76,2023-07-23
15,2619.45,2023-09-26
57,880.42,2023-04-07
86,243.16,2023-10-02
76,4525.3,2023-12-26
15,4649.96,2023-02-17
99,1292.05,2023-05-07
28,3916.3,2023-11-04
40,1056.49,2023-08-07
99,2263.9,2023-08-22
77,2263.1,2023-02-09
54,4557.67,2023-11-13
82,4363.75,2023-11-22
96,3393.05,2023-04-07
69,3473.46,2023-06-19
33,4107.88,2023-12-01
97,292.24,2023-04-08
63,3807.77,2023-05-30
69,2104.27,2023-07-27
33,3269.56,2023-03-22
1,2504.5,2023-06-30
21,2313.2,2023-12-24
82,3351.9,2023-07-12
80,3277.15,2023-11-22
2,3209.06,2023-08-15
41,694.2,2023-09-21
46,1929.89,2023-06-13
85,3640.28,2023-01-06
34,273.54,2023-11-27
42,2320.22,2023-06-24
74,4447.19,2023-03-24
32,1375.11,2023-06-30
1,1165.31,2023-06-18
50,344.52,2023-12-17
74,3640.21,2023-11-17
29,873.28,2023-11-08
48,4495.17,2023-09-03
47,747.92,2023-03-07
22,2642.13,2023-07-27
12,3511.24,2023-02-08
48,1118.51,2023-07-20
61,4738.99,2023-09-24
29,2864.69,2023-05-02
88,4073.76,2023-02-16
6,4344.28,2023-11-30
26,397.74,2023-06-01
7,1597.4,2023-06-08
27,4079.22,2023-11-03
65,3037.82,2023-04-08
72,3017.3,2023-08-08
14,897.54,2023-08-11
43,1029.61,2023-04-12
39,4423.45,2023-06-29
32,3503.14,2023-05-31
28,4653.05,2023-10-15
63,1449.92,2023-11-08
52,4730.26,2023-11-01
17,611.94,2023-10-17
9,3275.48,2023-08-24
9,1273.47,2023-09-05
2,4398.4,2023-03-03
22,1238.06,2023-12-13
49,4283.73,2023-03-10
65,1080.16,2023-11-09
92,4696.8,2023-12-29
70,1360.33,2023-04-03
64,1735.91,2023-12-17
80,3973.78,2023-05-23
28,2080.79,2023-08-18
56,2194.2,2023-08-21
75,3486.1,2023-11-23
64,954.56,2023-08-28
19,4935.28,2023-11-23
31,1237.32,2023-04-30
12,4249.39,2023-06-13
83,2220.14,2023-11-27
58,3483.73,2023-03-11
42,2647.76,2023-04-11
43,1379.22,2023-04-17
99,2723.07,2023-09-12
58,4181.01,2023-05-20
19,3634.26,2023-12-17
8,2778.76,2023-09-18
34,602.2,2023-02-27
93,3411.23,2023-06-13
30,145.0,2023-10-09
58,4099.33,2023-05-15
12,829.47,2023-03-23
77,2143.46,2023-08-27
85,4694.38,2023-05-24
30,1238.27,2023-12-03
87,3433.96,2023-12-29
1,928.77,2023-08-31
67,1437.7,2023-10-26
73,1225.11,2023-01-06
93,4528.61,2023-11-20
17,3009.67,2023-12-25
25,2344.65,2023-05-04
95,935.36,2023-04-03
65,1606.48,2023-01-18
88,2766.4,2023-09-15
63,842.28,2023-05-30
85,565.49,2023-11-14
32,4723.35,2023-04-10
29,252.13,2023-11-25
78,2240.87,2023-11-21
9,1671.1,2023-04-10
8,3651.57,2023-11-02
46,1326.6,2023-08-06
31,3906.47,2023-07-11
100,1201.91,2023-09-02
80,1654.49,2023-05-30
59,2017.35,2023-07-29
54,1291.69,2023-09-06
96,3537.26,2023-05-22
29,1229.28,2023-09-06
33,2546.75,2023-02-17
95,1207.78,2023-06-02
49,1384.28,2023-03-10
79,123.26,2023-05-08
47,142.15,2023-10-09
35,3303.47,2023-01-04
39,1659.55,2023-10-17
3,2634.01,2023-11-18
89,243.3,2023-08-15
20,3827.92,2023-07-01
39,1189.71,2023-10-08
23,3705.55,2023-06-07
68,992.87,2023-08-11
49,3270.59,2023-02-08
8,3222.74,2023-11-28
82,2618.18,2023-06-17
40,2715.51,2023-07-11
56,1904.37,2023-05-13
6,1458.28,2023-03-13
95,4046.58,2023-07-29
36,3143.83,2023-01-10
46,2401.9,2023-05-25
77,3818.79,2023-07-12
76,1065.63,2023-09-19
78,2991.62,2023-01-24
93,1934.18,2023-07-20
78,4242.42,2023-07-21
60,4570.96,2023-06-03
61,2337.69,2023-08-15
65,3161.4,2023-03-11
94,106.28,2023-01-25
39,1553.67,2023-02-20
14,2462.85,2023-01-02
27,1981.26,2023-10-07
43,1413.26,2023-10-18
4,3906.33,2023-10-06
22,1932.99,2023-03-17
79,828.26,2023-06-25
3,2418.56,2023-04-13
37,3493.43,2023-10-27
48,2025.84,2023-05-23
44,1906.15,2023-06-12
84,1740.49,2023-10-09
10,4286.36,2023-04-13
69,2600.0,2023-03-28
53,4856.83,2023-04-30
39,2599.87,2023-11-17
34,3235.83,2023-03-04
28,3130.05,2023-09-28
43,4995.15,2023-02-13
49,3440.84,2023-11-29
35,976.96,2023-10-30
6,898.45,2023-05-28
17,2195.81,2023-09-12
3,2166.47,2023-07-31
94,887.02,2023-08-17
6,2298.97,2023-05-29
21,880.12,2023-01-17
82,553.23,2023-02-15
76,887.45,2023-11-03
56,4463.92,2023-07-26
52,3913.39,2023-10-24
70,2902.76,2023-01-16
49,793.74,2023-07-30
86,4506.71,2023-04-09
13,2516.21,2023-12-12
40,1745.52,2023-10-21
7,2626.36,2023-05-21
38,107.38,2023-07-02
84,118.1,2023-10-13
96,4961.7,2023-02-03
72,2231.91,2023-01-03
21,2807.63,2023-04-28
9,923.69,2023-07-01
96,4662.1,2023-07-07
69,2146.38,2023-06-20
34,1709.25,2023-09-03
32,1259.26,2023-01-10
9,3175.64,2023-02-11
14,2619.27,2023-10-24
100,3405.43,2023-09-24
27,3741.29,2023-06-09
87,3094.32,2023-10-18
48,173.09,2023-06-06
15,2856.36,2023-01-12
32,462.88,2023-02-19
78,3529.56,2023-09-09
81,1424.66,2023-06-30
48,527.93,2023-05-13
41,2752.19,2023-03-25
98,1232.15,2023-12-23
58,4767.25,2023-12-29
8,2499.3,2023-01-11
30,623.77,2023-03-03
63,2431.0,2023-12-16
18,252.11,2023-01-25
81,1445.04,2023-06-06
40,2782.04,2023-03-16
97,151.74,2023-05-15
47,1838.3,2023-07-05
42,4512.85,2023-10-28
29,2929.14,2023-12-24
51,4241.18,2023-04-19
22,3824.57,2023-09-02
72,3561.65,2023-06-21
46,4783.45,2023-11-07
28,795.17,2023-11-02
40,4524.22,2023-12-12
81,2601.52,2023-12-11
26,569.48,2023-11-10
55,182.41,2023-06-30
89,1755.09,2023-01-10
56,1356.38,2023-12-21
55,4259.88,2023-03-17
98,3731.91,2023-11-27
64,2774.06,2023-11-11
64,2351.09,2023-12-05
11,1771.81,2023-09-25
26,3397.33,2023-04-26
55,4641.71,2023-09-10
5,4452.98,2023-11-27
87,1829.38,2023-10-06
41,3869.02,2023-12-24
70,3495.07,2023-07-03
25,4685.61,2023-03-29
85,4744.43,2023-06-22
91,1471.58,2023-05-17
7,560.85,2023-09-06
20,3792.19,2023-12-03
7,4674.98,2023-01-27
13,1954.56,2023-01-28
90,2465.43,2023-04-19
69,3882.42,2023-02-25
35,180.17,2023-02-12
38,2512.49,2023-04-16
48,994.83,2023-06-07
29,2311.42,2023-03-25
12,4471.75,2023-06-01
25,4191.78,2023-10-02
44,420.04,2023-09-17
10,3855.68,2023-08-10
74,4627.59,2023-03-12
93,3477.66,2023-11-13
77,2557.82,2023-06-04
85,632.12,2023-06-13
10,3549.13,2023-01-04
83,2136.8,2023-06-27
96,1375.46,2023-08-25
77,1862.43,2023-08-14
91,2590.43,2023-05-26
20,2432.39,2023-01-31
29,4556.79,2023-12-25
48,2730.1,2023-04-18
72,3831.75,2023-05-13
18,2587.32,2023-11-25
28,4435.57,2023-10-28
97,3498.58,2023-04-03
71,1572.12,2023-09-03
48,4323.07,2023-11-19
10,1863.84,2023-08-05
56,4738.24,2023-11-18
44,3179.34,2023-06-28
18,4147.45,2023-12-01
12,4249.5,2023-08-24
55,1140.17,2023-10-02
11,2795.68,2023-03-05
93,2748.37,2023-08-26
60,2145.44,2023-10-19
5,1001.22,2023-11-13
80,3311.06,2023-02-10
25,3679.41,2023-04-12
10,1893.02,2023-05-09
17,2908.16,2023-07-01
87,4155.92,2023-01-22
92,2862.39,2023-04-23
33,4376.05,2023-07-28
100,3824.84,2023-05-13
58,3821.93,2023-12-11
3,461.88,2023-03-31
30,691.6,2023-07-02
2,4031.52,2023-12-29
81,1205.13,2023-01-21
80,4104.38,2023-04-09
55,3424.21,2023-02-10
53,1919.17,2023-03-23
12,4394.77,2023-06-12
8,2215.51,2023-04-20
45,4303.51,2023-12-13
74,1044.31,2023-09-16
1,3666.99,2023-07-18
16,1183.43,2023-03-22
91,3037.39,2023-08-20
6,4156.28,2023-08-02
60,3930.48,2023-05-09
25,4693.67,2023-04-17
8,2380.8,2023-06-10
35,3285.04,2023-09-10
16,1122.53,2023-10-03
85,3133.04,2023-01-21
34,4495.21,2023-10-03
83,4939.37,2023-02-18
70,2101.29,2023-09-18
94,2894.09,2023-06-04
25,2371.77,2023-08-28
55,3516.18,2023-03-24
27,876.83,2023-06-26
27,3463.97,2023-02-02
18,1098.46,2023-09-12
11,1923.49,2023-01-27
17,4217.89,2023-01-18
100,3202.5,2023-08-16
9,3440.24,2023-05-13
100,4208.87,2023-10-30
17,569.04,2023-07-25
81,4907.95,2023-09-04
85,4788.46,2023-11-08
69,2951.4,2023-02-04
77,1357.77,2023-01-28
6,2254.96,2023-08-08
64,755.04,2023-11-14
3,2620.24,2023-05-21
34,1049.84,2023-07-02
40,2225.17,2023-10-23
45,4337.2,2023-05-10
2,116.8,2023-09-21
80,422.79,2023-08-27
94,3582.53,2023-03-16
80,508.45,2023-06-09
81,3247.45,2023-06-03
76,4391.39,2023-04-23
91,1634.07,2023-04-29
29,2681.23,2023-01-25
62,639.81,2023-12-10
50,4525.6,2023-09-08
72,4606.6,2023-06-30
14,1367.25,2023-01-31
10,3441.2,2023-04-18
94,226.02,2023-11-29
71,1127.35,2023-03-04
96,3894.45,2023-10-05
49,882.07,2023-02-12
55,3940.52,2023-01-20
26,2025.67,2023-08-30
21,544.74,2023-05-14
41,1204.26,2023-05-23
45,215.56,2023-12-16
47,4892.37,2023-08-19
31,800.01,2023-08-26
9,1540.52,2023-01-07
62,617.94,2023-03-02
76,258.65,2023-07-02
3,2425.52,2023-04-22
84,3692.91,2023-05-30
88,2715.28,2023-11-08
94,3886.88,2023-12-11
88,1751.28,2023-06-03
55,3202.86,2023-01-10
43,2953.12,2023-02-13
26,2834.49,2023-05-04
29,1272.48,2023-08-21
8,1928.04,2023-04-02
88,4518.05,2023-12-04
1,3965.25,2023-06-19
100,1767.14,2023-11-12
3,1385.12,2023-08-04
98,4216.99,2023-09-27
16,694.7,2023-08-05
39,3778.54,2023-06-29
75,3190.11,2023-04-24
35,3423.39,2023-07-07
17,2745.73,2023-06-22
66,4890.13,2023-12-24
15,2760.38,2023-10-30
82,1974.49,2023-10-30
60,713.47,2023-01-02
95,1034.86,2023-01-21
27,4897.58,2023-10-19
2,2381.4,2023-05-06
52,2114.64,2023-08-21
34,4280.29,2023-12-30
53,2679.17,2023-12-26
36,3676.01,2023-01-22
60,507.7,2023-06-25
18,4161.67,2023-07-07
82,4436.28,2023-01-12
58,3705.3,2023-06-04
1,231.53,2023-01-17
50,3473.49,2023-05-14
27,1984.11,2023-06-24
69,3297.95,2023-08-29
50,3732.22,2023-10-07
82,942.4,2023-04-03
16,2511.14,2023-01-24
74,1797.87,2023-04-29
6,4360.11,2023-12-14
33,4506.17,2023-02-23
35,471.03,2023-01-13
79,1500.34,2023-08-12
70,3389.34,2023-09-11
40,298.08,2023-07-02
42,723.36,2023-08-14
91,812.34,2023-09-05
55,3342.09,2023-11-10
30,4184.61,2023-04-02
57,3265.96,2023-11-30
97,2700.13,2023-11-06
4,4452.69,2023-10-20
11,3451.73,2023-09-18
76,2969.11,2023-11-20
17,2468.02,2023-11-13
83,382.69,2023-12-22
1,2040.79,2023-01-17
12,3714.75,2023-04-11
57,2043.24,2023-11-03
47,2553.06,2023-09-12
19,346.37,2023-03-23
96,4109.68,2023-12-03
83,2617.33,2023-07-09
69,4833.72,2023-12-10
27,867.34,2023-03-30
51,4524.49,2023-09-02
10,3716.39,2023-03-14
45,132.02,2023-02-24
35,3022.99,2023-04-01
73,4353.76,2023-02-03
89,1664.54,2023-04-21
4,3372.02,2023-02-04
62,3172.82,2023-12-17
30,2475.15,2023-12-15
92,1380.3,2023-11-14
15,3185.16,2023-05-18
23,1089.18,2023-06-23
60,3741.83,2023-06-24
39,1630.24,2023-11-06
68,1572.16,2023-04-28
97,4763.78,2023-10-24
18,855.37,2023-11-05
87,106.89,2023-08-05
84,781.32,2023-05-23
80,1977.5,2023-07-05
9,2882.51,2023-04-04
93,3687.04,2023-09-10
28,2032.9,2023-06-14
68,2314.93,2023-11-13
48,3907.76,2023-03-18
19,4395.33,2023-02-04
64,1579.2,2023-05-29
80,3426.75,2023-08-04
60,4354.18,2023-01-18
79,4134.36,2023-10-30
7,3537.01,2023-04-09
90,1470.92,2023-04-18
11,445.03,2023-10-19
90,4632.63,2023-09-15
82,2308.79,2023-05-23
30,620.73,2023-02-03
25,3683.15,2023-04-13
86,3288.11,2023-10-18
